vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
10079,3476,11.0,3.0,0,-1497.0,42.269434444606304
97077,20350,42.0,7.0,0,-1497.0,inf
97115,20377,11.0,3.0,0,-1497.0,inf
260507,32332,42.0,7.0,0,-1497.0,inf
288987,51229,120.0,28.0,0,-1497.0,inf
289024,51243,2000.0,560.0,0,-1497.0,inf
1595261,260858,84.0,14.0,0,-1497.0,inf
1595297,260873,30.0,7.0,0,-1497.0,inf
1601246,262408,42.0,7.0,0,-1497.0,inf
1601283,262436,200.0,28.0,0,-1497.0,inf
1740159,306942,84.0,14.0,0,-1497.0,inf
1774100,327143,400.0,112.0,0,-1497.0,inf
2014553,457911,11.0,3.0,0,-1497.0,inf
2029913,459887,400.0,56.0,0,-1497.0,inf
2029928,459891,11.0,3.0,0,-1497.0,41.858552638906986
2465260,640019,42.0,7.0,0,-1497.0,inf
2532925,663227,30.0,7.0,0,-1497.0,inf
2532942,663239,100.0,14.0,0,-1497.0,inf
4339373,1233091,42.0,7.0,0,-1497.0,inf
5124667,1532001,336.0,56.0,0,-1497.0,inf
5124706,1532033,84.0,14.0,0,-1497.0,inf
5168394,1542067,84.0,14.0,0,-1497.0,inf
5225866,1553801,168.0,28.0,0,-1497.0,inf
5888488,1946700,84.0,14.0,0,-1497.0,inf
5921315,1954663,30.0,7.0,0,-1497.0,inf
5921406,1954722,120.0,28.0,0,-1497.0,inf
6078977,2013075,30.0,7.0,0,-1497.0,inf
6078987,2013084,42.0,7.0,0,-1497.0,inf
6279516,2062241,1600.0,448.0,0,-1497.0,inf
6897010,2460749,42.0,7.0,0,-1497.0,inf
6997421,2469944,42.0,7.0,0,-1497.0,inf
7008993,2471655,42.0,7.0,0,-1497.0,inf
7278058,2678749,100.0,14.0,0,-1497.0,inf
7353439,2703207,400.0,56.0,0,-1497.0,inf
7353450,2703216,1600.0,448.0,0,-1497.0,inf
7353475,2703216,1600.0,448.0,0,-1497.0,inf
6981170,2467686,800.0,224.0,0,-1437.0289699072018,inf
6989811,2468731,42.0,7.0,0,-1435.315231481567,inf
289076,51265,42.0,7.0,0,-1428.0847685183398,inf
6862132,2438802,42.0,7.0,0,-1420.9885069443844,1.4788484489545226
2030037,459912,400.0,112.0,0,-1416.2861574073322,8.12407358782366
2030115,459915,42.0,7.0,0,-1413.0077314814553,8.005849155131727
3560146,1046467,100.0,14.0,0,-1408.5284606483765,inf
2030124,459906,800.0,224.0,0,-1406.901956018526,inf
5882729,1945396,200.0,28.0,0,-1405.3481828705408,inf
2532960,663253,42.0,7.0,0,-1398.5056250002235,inf
6079004,2013098,42.0,7.0,0,-1387.61944444431,inf
1774131,326945,400.0,112.0,0,-1378.1014467594214,inf
2030314,459942,42.0,7.0,0,-1374.0196180557832,inf
5921464,1954763,42.0,7.0,0,-1371.2070254627615,inf
5813417,1937262,200.0,28.0,0,-1365.9878240739927,inf
361237,77234,42.0,7.0,0,-1363.3407523147762,inf
5175286,1543097,100.0,14.0,0,-1363.1395023148507,inf
2030497,459906,400.0,112.0,0,-1360.0569791668095,inf
2030513,459976,200.0,16.0,0,-1359.4112499998882,inf
5921497,1954768,800.0,112.0,0,-1356.9067708333023,inf
2030646,459999,42.0,7.0,0,-1356.0059953704476,inf
2030651,460000,42.0,7.0,0,-1355.9881944442168,inf
2030778,460022,42.0,7.0,0,-1343.7025810186751,inf
2030788,460025,42.0,7.0,0,-1341.9812615741976,inf
5921506,1954772,200.0,28.0,0,-1338.972812499851,83.59294452564791
1683116,299347,800.0,224.0,0,-1337.141875000205,inf
2030844,460034,200.0,28.0,0,-1335.800625000149,inf
2030902,460044,42.0,7.0,0,-1330.1980092590675,inf
2030926,460047,42.0,7.0,0,-1328.6299189813435,inf
2030944,460051,42.0,7.0,0,-1327.4946990739554,inf
1740202,306979,42.0,7.0,0,-1323.9520370368846,inf
11054,3622,200.0,28.0,0,-1300.0786226852797,49.81124187493697
2031091,460071,200.0,28.0,0,-1297.8344560186379,inf
2031185,460080,2400.0,672.0,0,-1290.2280787038617,inf
2031215,460080,2400.0,672.0,0,-1290.2280787038617,inf
6862259,2438879,42.0,7.0,0,-1289.2440162035637,inf
122258,23749,42.0,7.0,0,-1289.2143865739927,77.30489356489852
1625856,270695,200.0,28.0,0,-1286.7126620369963,inf
6192660,2037488,42.0,7.0,0,-1283.2882638890296,inf
2031281,460089,2400.0,672.0,0,-1282.0591435185634,inf
6997571,2470058,42.0,7.0,0,-1275.9311574073508,inf
1984062,452304,42.0,7.0,0,-1267.9108912036754,inf
337544,60981,11.0,3.0,0,-1253.9494907408953,inf
3545319,1042614,168.0,28.0,0,-1253.6821180554107,inf
337694,61125,42.0,7.0,0,-1253.012766203843,inf
337750,61146,42.0,7.0,0,-1252.8767939815298,inf
