vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
10939,3560,30.0,7.0,0,-1497.0,inf
1595263,260858,168.0,28.0,0,-1497.0,inf
1595279,260863,42.0,7.0,0,-1497.0,inf
1683015,299293,42.0,7.0,0,-1497.0,inf
1683030,299305,42.0,7.0,0,-1497.0,inf
1740175,306957,42.0,7.0,0,-1497.0,inf
1774120,327145,100.0,14.0,0,-1497.0,inf
2029870,459887,400.0,56.0,0,-1497.0,inf
2029878,459887,400.0,56.0,0,-1497.0,inf
2029938,459893,84.0,14.0,0,-1497.0,inf
2465302,640047,200.0,56.0,0,-1497.0,86.78131938679144
5165306,1540973,42.0,7.0,0,-1497.0,5.876031029969454
5168432,1542100,84.0,14.0,0,-1497.0,inf
5182069,1547315,200.0,28.0,0,-1497.0,inf
5813331,1937199,42.0,7.0,0,-1497.0,inf
5813357,1937221,42.0,7.0,0,-1497.0,inf
5813358,1937221,42.0,7.0,0,-1497.0,inf
5813385,1937239,42.0,7.0,0,-1497.0,inf
5882711,1945379,100.0,14.0,0,-1497.0,inf
5888401,1946667,336.0,56.0,0,-1497.0,inf
5888501,1946700,84.0,14.0,0,-1497.0,inf
5921309,1954663,30.0,7.0,0,-1497.0,inf
5921415,1954726,42.0,7.0,0,-1497.0,inf
6078983,2013080,42.0,7.0,0,-1497.0,inf
6896940,2460705,42.0,7.0,0,-1497.0,inf
6981141,2467674,42.0,7.0,0,-1497.0,inf
6997469,2469931,168.0,28.0,0,-1497.0,inf
7353478,2703216,1600.0,448.0,0,-1497.0,inf
7353480,2703227,100.0,14.0,0,-1497.0,inf
361204,77257,100.0,14.0,0,-1437.4245717590675,inf
5124757,1532069,84.0,14.0,0,-1437.2172106481157,inf
1683058,299323,42.0,7.0,0,-1435.97217592597,inf
361209,77261,42.0,7.0,0,-1426.227442129515,inf
6192603,2037462,42.0,7.0,0,-1426.0704745370895,inf
2030050,459912,400.0,112.0,0,-1416.2861574073322,inf
2030094,459912,800.0,224.0,0,-1416.2861574073322,24.213570532388985
2030114,459914,42.0,7.0,0,-1413.0290972222574,8.00616151606664
2465361,640097,60.0,14.0,0,-1404.909398148302,54.48179516196251
1625803,270649,800.0,112.0,0,-1388.5448726853356,inf
5888586,1946733,100.0,8.0,0,-1378.8841319442727,inf
2030305,459912,400.0,112.0,0,-1375.3079166668467,inf
7009061,2471712,168.0,112.0,0,-1374.2570949075744,36.655329768545926
2030352,459950,200.0,16.0,0,-1371.594490740914,inf
2030403,459958,60.0,14.0,0,-1366.4178240741603,inf
2030438,459963,42.0,7.0,0,-1365.0234259259887,8.005505960434675
1625832,270672,100.0,14.0,0,-1359.3689583335072,41.84147234959528
1683088,299193,336.0,56.0,0,-1356.8476388887502,inf
5175288,1543099,200.0,28.0,0,-1351.9796759258024,inf
2030711,460012,800.0,112.0,0,-1351.1018634261563,inf
7278072,2678761,84.0,14.0,0,-1350.5407638889737,inf
337511,60959,200.0,28.0,0,-1345.2016782406718,inf
5175292,1543103,200.0,28.0,0,-1344.7481249999255,inf
1683108,299347,400.0,112.0,0,-1337.141875000205,inf
2030836,459912,800.0,224.0,0,-1336.211678240914,inf
2030864,459910,42.0,7.0,0,-1334.5606365739368,inf
6195488,2037386,168.0,28.0,0,-1331.764745370485,0.42665991885587573
6997544,2470037,120.0,28.0,0,-1329.4146759258583,inf
2532975,663264,42.0,7.0,0,-1328.2648032405414,inf
2030972,459912,800.0,224.0,0,-1323.001898148097,inf
1601301,262450,200.0,28.0,0,-1322.8090277779847,inf
260544,32357,42.0,7.0,0,-1319.6493055555038,inf
5154210,1537068,42.0,7.0,0,-1309.164097222034,inf
2512493,646723,100.0,14.0,0,-1308.6108564813621,inf
2031059,460065,30.0,7.0,0,-1302.5820833332837,16.21564114606008
1816212,339569,200.0,28.0,0,-1299.8508796296082,inf
5497001,1654394,42.0,7.0,0,-1297.3600810184143,inf
122155,23729,42.0,7.0,0,-1297.2178009259515,inf
6823131,2417202,400.0,56.0,0,-1296.9249884258024,9.250725057907403
2031154,460078,168.0,28.0,0,-1294.3521180553362,inf
2532988,663276,11.0,3.0,0,-1283.0911458334886,inf
5888631,1946719,42.0,7.0,0,-1282.4645601850934,inf
260567,32372,100.0,14.0,0,-1282.2670949073508,inf
2031281,460089,2400.0,672.0,0,-1282.0591435185634,inf
2031477,460089,2400.0,672.0,0,-1282.0591435185634,inf
2031490,460089,2400.0,672.0,0,-1282.0591435185634,inf
2031507,460089,2400.0,672.0,0,-1282.0591435185634,inf
6898230,2460829,84.0,14.0,0,-1281.13268518541,inf
1816222,339578,400.0,112.0,0,-1276.3072222224437,inf
122292,23757,84.0,56.0,0,-1276.0896527776495,inf
1683179,299347,800.0,224.0,0,-1272.8218287038617,5.895603738259524
7009101,2471741,84.0,14.0,0,-1263.0173495369963,inf
289142,51300,200.0,28.0,0,-1259.6911805556156,54.88949327543378
1683185,299368,42.0,7.0,0,-1255.0928356479853,inf
337542,60979,11.0,3.0,0,-1253.9499074076302,inf
5497057,1654446,42.0,7.0,0,-1253.9048726852052,inf
3545251,1042596,42.0,7.0,0,-1253.8895601853728,inf
337591,61026,42.0,7.0,0,-1253.8532407409512,41.91425053263083
337596,61031,42.0,7.0,0,-1253.8526620371267,inf
337618,61051,42.0,7.0,0,-1253.8062731479295,84.68204585649073
337620,61053,42.0,7.0,0,-1253.8059490742162,inf
3545315,1042614,168.0,28.0,0,-1253.6610763887875,inf
3545295,1042614,168.0,28.0,0,-1253.640902777668,inf
337655,61087,84.0,14.0,0,-1253.179652777966,inf
5497156,1654537,60.0,14.0,0,-1253.1432986110449,inf
337669,61101,42.0,7.0,0,-1253.0637731482275,inf
337679,61111,60.0,14.0,0,-1253.0614467593841,inf
5497259,1654606,84.0,14.0,0,-1251.5170717593282,inf
6823141,2417212,100.0,14.0,0,-1245.9205092592165,inf
5084920,1512022,100.0,14.0,0,-1240.7757638888434,inf
6997587,2470068,200.0,56.0,0,-1240.137766203843,inf
5175303,1543114,400.0,56.0,0,-1238.8632870372385,43.5350460303016
5888642,1946757,42.0,7.0,0,-1238.040266203694,inf
2465451,640154,42.0,7.0,0,-1236.9857870368287,inf
6187882,2035569,400.0,56.0,0,-1233.5150462961756,inf
5154262,1537090,120.0,28.0,0,-1232.9998495369218,52.0300916088745
122650,23839,42.0,7.0,0,-1219.0376620371826,inf
5168494,1542140,42.0,7.0,0,-1218.9365972219966,inf
2762358,766295,100.0,14.0,0,-1217.811296296306,inf
122666,23845,42.0,7.0,0,-1217.5435879630968,inf
122681,23848,168.0,28.0,0,-1216.2064814814366,inf
2031718,459906,800.0,224.0,0,-1213.9962384258397,inf
2031726,459906,800.0,224.0,0,-1213.9962384258397,inf
2786776,785781,100.0,14.0,0,-1198.9308101851493,inf
122896,23815,84.0,56.0,0,-1195.3907754630782,inf
2031832,460131,42.0,7.0,0,-1193.8836226849817,inf
122988,23917,42.0,7.0,0,-1188.1254050927237,inf
337801,61201,42.0,7.0,0,-1188.1182291666046,inf
123059,23934,42.0,7.0,0,-1182.93537037028,inf
2032043,460144,2400.0,672.0,0,-1182.1660763886757,inf
2032108,460144,2400.0,672.0,0,-1182.1660648146644,inf
2032259,460146,100.0,14.0,0,-1180.7572916666977,78.807902071625
5338492,1602788,84.0,14.0,0,-1175.927372685168,inf
2443825,633129,336.0,56.0,0,-1175.143900462892,inf
7009132,2471762,11.0,3.0,0,-1174.9695601849817,inf
2443906,633195,42.0,7.0,0,-1174.2109953705221,1.0621177316643298
2786868,785853,42.0,7.0,0,-1173.92174768541,41.90713258087635
2786893,785877,42.0,7.0,0,-1172.7244560183026,inf
2787071,786017,42.0,7.0,0,-1171.0937731480226,inf
5829058,1939135,42.0,7.0,0,-1171.0261921295896,inf
5829156,1939171,84.0,14.0,0,-1170.4484837963246,26.835000521037728
2032537,460191,168.0,28.0,0,-1166.2975925924256,inf
2032608,460198,2400.0,672.0,0,-1157.2201967593282,inf
2032730,460198,2400.0,672.0,0,-1157.220138888806,inf
2032819,460198,2400.0,672.0,0,-1157.2201157407835,inf
2032839,460198,2400.0,672.0,0,-1157.2201041667722,inf
2032875,460198,2400.0,672.0,0,-1157.2201041667722,inf
2032895,460198,2400.0,672.0,0,-1157.2201041667722,inf
123198,23899,42.0,7.0,0,-1156.6838310183957,inf
7353524,2703203,100.0,14.0,0,-1148.2339814812876,inf
1658965,294394,336.0,56.0,0,-1146.74657407403,88.42827644664794
1625887,270722,200.0,56.0,0,-1144.3497453704476,inf
123256,23962,200.0,16.0,0,-1143.8004166665487,67.88133388897404
6079047,2013129,200.0,28.0,0,-1143.3090856480412,inf
123261,23968,42.0,7.0,0,-1143.1549884257838,inf
123283,23975,168.0,28.0,0,-1139.8873263890855,inf
123292,23977,200.0,28.0,0,-1139.3513194443658,inf
1937123,429404,400.0,112.0,0,-1136.4632175927982,55.09939863439649
2033162,460205,2400.0,672.0,0,-1132.9593518520705,inf
2033306,460205,2400.0,672.0,0,-1132.9593518520705,inf
2033366,460205,2400.0,672.0,0,-1132.9593518520705,inf
2033458,460205,2400.0,672.0,0,-1132.9593518520705,inf
5888306,1946652,84.0,14.0,0,-1129.1410879627801,inf
2033487,460203,84.0,14.0,0,-1128.965416666586,inf
2033502,459912,800.0,224.0,0,-1121.8196412036195,8.195023830980062
1595373,260848,168.0,28.0,0,-1115.3710763887502,inf
289216,51243,400.0,112.0,0,-1110.9967476851307,inf
289217,51243,400.0,112.0,0,-1110.9967476851307,inf
123420,24004,200.0,28.0,0,-1107.0929282405414,inf
5084969,1512064,400.0,56.0,0,-1106.9547569444403,inf
3604876,1070550,16.0,112.0,0,-1105.0268865739927,inf
5084971,1512066,200.0,28.0,0,-1104.6742013888434,inf
1683234,299403,400.0,112.0,0,-1101.0316782407463,inf
5182148,1547311,42.0,7.0,0,-1098.548402777873,inf
1543702,246650,800.0,112.0,0,-1098.0167013891041,inf
1740245,307016,800.0,224.0,0,-1096.2361574075185,inf
5497347,1654633,100.0,14.0,0,-1084.2442708332092,inf
260665,32429,400.0,56.0,0,-1078.0655902777798,inf
3604929,1070550,16.0,112.0,0,-1077.067395833321,inf
1804846,336771,200.0,16.0,0,-1076.692951388657,inf
123713,24008,2400.0,672.0,0,-1069.0385185186751,inf
123763,24008,2400.0,672.0,0,-1069.0385185186751,inf
123952,24009,2400.0,672.0,0,-1069.0195833332837,inf
124029,24009,2400.0,672.0,0,-1069.0195833332837,inf
1652349,293093,200.0,56.0,0,-1064.2560879630037,inf
1804866,336783,100.0,14.0,0,-1064.1863773148507,inf
5124881,1532160,400.0,112.0,0,-1063.2444791668095,inf
2033814,460233,2400.0,672.0,0,-1045.229837962892,inf
2033851,460233,2400.0,672.0,0,-1045.229837962892,inf
2033980,460233,2400.0,672.0,0,-1045.2298263888806,inf
2034089,460233,2400.0,672.0,0,-1045.2298263888806,inf
2034123,460233,2400.0,672.0,0,-1045.2298263888806,inf
2034137,460233,2400.0,672.0,0,-1045.2298263888806,inf
2034211,460233,2400.0,672.0,0,-1045.2298263888806,inf
124054,24012,200.0,28.0,0,-1043.9923032405786,inf
2034262,460233,2400.0,672.0,0,-1042.1371296294965,inf
5338717,1602951,200.0,56.0,0,-1034.9053587964736,inf
6279703,2062379,400.0,56.0,0,-1034.9053009259515,inf
6279705,2062380,400.0,56.0,0,-1034.9052662039176,5.764263402670622
5234156,1555479,100.0,14.0,0,-1033.978402777575,inf
5234157,1555480,200.0,28.0,0,-1031.2977893520147,inf
5084991,1512086,200.0,28.0,0,-1022.7946412037127,inf
1977054,449715,100.0,14.0,0,-1020.1320949075744,inf
1652367,293026,168.0,28.0,0,-1020.0878356480971,inf
124086,24000,200.0,28.0,0,-1016.5814120369032,17.696951886639
2034370,460241,200.0,56.0,0,-1014.9809606480412,inf
6279720,2062386,2000.0,560.0,0,-1009.1833564816043,50.96632184041664
1698537,301867,120.0,32.0,0,-1007.0436226851307,inf
5888700,1946749,42.0,7.0,0,-1006.549097222276,inf
6192783,2037552,100.0,14.0,0,-1003.1440162039362,inf
2034406,460233,2400.0,672.0,0,-1003.1137500000186,inf
6997679,2470102,1600.0,224.0,0,-1002.9828356481157,inf
1698570,301883,200.0,64.0,0,-999.6393518517725,85.14430300937966
1579950,258173,42.0,7.0,0,-998.9677083333954,27.119441851973534
7196219,2638203,42.0,7.0,0,-995.5622106483206,inf
5882798,1945454,168.0,28.0,0,-994.1306597222574,inf
2444082,633290,200.0,28.0,0,-993.4260069443844,inf
