vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
113238,22218,100.0,14.0,0,-1497.0,44.30087431706488
260463,32301,42.0,7.0,0,-1497.0,inf
1595257,260855,42.0,7.0,0,-1497.0,inf
1595318,260887,42.0,7.0,0,-1497.0,inf
1595336,260902,100.0,14.0,0,-1497.0,inf
1601240,262403,42.0,7.0,0,-1497.0,inf
2465329,640069,30.0,7.0,0,-1497.0,inf
2532886,663193,42.0,7.0,0,-1497.0,inf
2532918,663221,400.0,56.0,0,-1497.0,68.57471251161769
4339353,1233086,400.0,112.0,0,-1497.0,85.90298042818904
4339378,1233094,168.0,28.0,0,-1497.0,inf
5124690,1532017,42.0,7.0,0,-1497.0,inf
5154077,1536977,42.0,7.0,0,-1497.0,inf
5168383,1542058,168.0,28.0,0,-1497.0,inf
5182066,1547313,200.0,28.0,0,-1497.0,inf
5234090,1555427,400.0,56.0,0,-1497.0,inf
5869579,1943330,4.0,28.0,0,-1497.0,inf
5888556,1946715,168.0,28.0,0,-1497.0,inf
5921394,1954715,42.0,7.0,0,-1497.0,inf
6078981,2013078,84.0,14.0,0,-1497.0,inf
6187872,2035559,400.0,56.0,0,-1497.0,inf
6192543,2037424,100.0,14.0,0,-1497.0,inf
6279540,2062261,42.0,7.0,0,-1497.0,inf
6981105,2467643,84.0,14.0,0,-1497.0,inf
7235282,2655704,168.0,28.0,0,-1497.0,inf
7353404,2703203,42.0,7.0,0,-1497.0,inf
7353470,2703224,200.0,28.0,0,-1497.0,inf
2030003,459906,400.0,112.0,0,-1437.1033912035637,inf
2030012,459906,400.0,112.0,0,-1437.1033912035637,inf
5888570,1946716,400.0,56.0,0,-1435.1709027779289,inf
2030122,459916,42.0,7.0,0,-1408.2801736108959,inf
5225965,1553874,100.0,14.0,0,-1404.8069791668095,inf
7235342,2655753,84.0,56.0,0,-1381.6793402777985,inf
2030279,459939,168.0,28.0,0,-1377.0569328702986,inf
2030281,459939,168.0,28.0,0,-1377.0569328702986,inf
2030344,459949,42.0,7.0,0,-1371.6622337964363,inf
2030388,459955,11.0,3.0,0,-1369.8062384258956,inf
2030420,459960,84.0,14.0,0,-1365.4599305554293,19.041822326369584
6823118,2417190,200.0,28.0,0,-1365.1492592594586,inf
2030448,459966,400.0,56.0,0,-1363.0998958335258,inf
1683093,299193,800.0,112.0,0,-1356.8476388887502,inf
2030665,460002,100.0,14.0,0,-1354.668414351996,inf
2030674,460003,100.0,14.0,0,-1354.3778935186565,inf
1595357,260917,100.0,8.0,0,-1351.4751504631713,inf
2030751,460016,200.0,28.0,0,-1346.609976851847,inf
6898219,2460822,42.0,7.0,0,-1345.0182175925002,inf
1774137,326945,400.0,112.0,0,-1344.1553587964736,71.28327429387718
1683120,299347,400.0,112.0,0,-1337.141875000205,inf
1683132,299347,800.0,224.0,0,-1337.141875000205,inf
1683134,299347,800.0,224.0,0,-1337.141875000205,inf
260545,32358,42.0,7.0,0,-1310.0480555556715,inf
5168475,1542130,11.0,3.0,0,-1303.4793981481344,1.9188542594201863
1683154,299356,42.0,7.0,0,-1303.1096643516794,inf
