vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
10039,3468,30.0,7.0,0,-1497.0,inf
10047,3468,30.0,7.0,0,-1497.0,inf
113232,22212,42.0,7.0,0,-1497.0,inf
260463,32301,42.0,7.0,0,-1497.0,inf
260507,32332,42.0,7.0,0,-1497.0,inf
1543645,246613,42.0,7.0,0,-1497.0,inf
1543655,246620,42.0,7.0,0,-1497.0,inf
1595249,260848,168.0,28.0,0,-1497.0,inf
1595293,260873,30.0,7.0,0,-1497.0,inf
1601277,262430,100.0,14.0,0,-1497.0,inf
1682986,299272,200.0,28.0,0,-1497.0,inf
1683041,299311,84.0,14.0,0,-1497.0,inf
1740144,306929,42.0,7.0,0,-1497.0,inf
1954281,442400,100.0,14.0,0,-1497.0,inf
5124666,1532000,42.0,7.0,0,-1497.0,inf
5124698,1532025,30.0,7.0,0,-1497.0,inf
5168396,1542069,168.0,28.0,0,-1497.0,inf
5882684,1945353,42.0,7.0,0,-1497.0,inf
5888426,1946687,84.0,14.0,0,-1497.0,inf
5888545,1946707,42.0,7.0,0,-1497.0,inf
5921344,1954675,42.0,7.0,0,-1497.0,inf
5921359,1954688,42.0,7.0,0,-1497.0,inf
5921421,1954730,84.0,14.0,0,-1497.0,inf
6187839,2035526,200.0,56.0,0,-1497.0,22.725495358929038
6187848,2035535,800.0,224.0,0,-1497.0,inf
6622343,2249588,42.0,7.0,0,-1497.0,inf
6981093,2467634,42.0,7.0,0,-1497.0,inf
6997497,2470002,84.0,14.0,0,-1497.0,inf
6997508,2470010,84.0,14.0,0,-1497.0,70.92552799778059
7353482,2703229,100.0,14.0,0,-1497.0,inf
1984006,452329,42.0,7.0,0,-1422.0963773149997,inf
6861433,2438765,42.0,7.0,0,-1421.1236921297386,41.897305057849735
6862131,2438801,42.0,7.0,0,-1421.0024189813994,inf
10972,3578,100.0,14.0,0,-1413.2212384259328,inf
5882728,1945395,200.0,28.0,0,-1412.950393518433,inf
361215,77266,42.0,7.0,0,-1409.1925231483765,inf
6078995,2013092,42.0,7.0,0,-1406.1002893517725,inf
2030151,459906,400.0,112.0,0,-1401.249305555597,inf
2465367,640102,168.0,28.0,0,-1386.240150462836,inf
