vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
7353486,2703233,200.0,28.0,0,-1497.0,inf
1983965,452301,42.0,7.0,0,-1497.0,inf
1543645,246613,42.0,7.0,0,-1497.0,inf
5124659,1531993,42.0,7.0,0,-1497.0,inf
5154134,1537020,42.0,7.0,0,-1497.0,inf
1984005,452328,200.0,28.0,0,-1497.0,inf
4339319,1233060,42.0,7.0,0,-1497.0,inf
4339320,1233060,42.0,7.0,0,-1497.0,inf
1595320,260889,11.0,3.0,0,-1497.0,inf
5888548,1946710,42.0,7.0,0,-1497.0,inf
6192552,2037431,42.0,7.0,0,-1497.0,inf
5888285,1946642,42.0,7.0,0,-1497.0,47.33658440969885
5882699,1945367,200.0,28.0,0,-1497.0,inf
7353379,2703185,100.0,14.0,0,-1497.0,42.16565357660875
6622365,2249608,100.0,14.0,0,-1497.0,inf
6622366,2249608,100.0,14.0,0,-1497.0,inf
10898,3539,42.0,7.0,0,-1497.0,inf
6622361,2249604,42.0,7.0,0,-1497.0,inf
5182109,1547336,200.0,28.0,0,-1497.0,inf
5182108,1547336,200.0,28.0,0,-1497.0,inf
2465283,639994,42.0,7.0,0,-1497.0,inf
7235287,2655709,84.0,14.0,0,-1497.0,inf
2465255,640015,42.0,7.0,0,-1497.0,inf
5921378,1954703,42.0,7.0,0,-1497.0,inf
5921391,1954713,42.0,7.0,0,-1497.0,inf
5921392,1954713,42.0,7.0,0,-1497.0,inf
6997495,2470000,42.0,7.0,0,-1497.0,inf
2465319,640060,42.0,7.0,0,-1497.0,42.00429206015542
6989792,2468716,42.0,7.0,0,-1497.0,inf
6078957,2013059,42.0,7.0,0,-1497.0,inf
6279563,2062281,11.0,3.0,0,-1426.0416898149995,inf
2030267,459936,800.0,224.0,0,-1378.3684027777053,49.80879604164511
2030268,459936,800.0,224.0,0,-1378.3684027777053,49.80879604164511
2030269,459936,800.0,224.0,0,-1378.3684027777053,49.80879604164511
2030270,459936,800.0,224.0,0,-1378.3684027777053,49.80879604164511
2030691,460007,84.0,56.0,0,-1352.6633333335628,inf
2030693,460007,84.0,56.0,0,-1352.6633333335628,inf
2030692,460007,84.0,56.0,0,-1352.6633333335628,inf
2030694,460007,84.0,56.0,0,-1352.6633333335628,inf
337514,60962,30.0,7.0,0,-1343.412986110896,inf
361245,77275,42.0,7.0,0,-1331.81675925944,46.56196759268642
2512494,646724,200.0,28.0,0,-1308.5181944444776,inf
2532979,663268,42.0,7.0,0,-1308.2427199073136,3.393049178179353
5882743,1945407,100.0,14.0,0,-1297.2062037037686,inf
4339401,1233112,100.0,14.0,0,-1293.141875000205,inf
5921519,1954780,42.0,7.0,0,-1290.132581018377,inf
5921518,1954780,42.0,7.0,0,-1290.132581018377,inf
1595361,260921,42.0,7.0,0,-1289.8732523149808,89.01285668974742
6898230,2460829,84.0,14.0,0,-1281.13268518541,inf
122290,23756,42.0,7.0,0,-1278.1712037036195,inf
122288,23756,42.0,7.0,0,-1278.1712037036195,inf
122285,23756,42.0,7.0,0,-1278.1712037036195,inf
122287,23756,42.0,7.0,0,-1278.1712037036195,inf
122286,23756,42.0,7.0,0,-1278.1712037036195,inf
122289,23756,42.0,7.0,0,-1278.1712037036195,inf
11089,3639,84.0,14.0,0,-1272.2823726851493,inf
289134,51243,2000.0,560.0,0,-1261.7144212964922,inf
6279620,2062321,42.0,7.0,0,-1254.2084027775566,inf
5497130,1654513,84.0,14.0,0,-1253.6744907405227,inf
