vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
5168434,1542047,42.0,7.0,0,-1497.0,inf
5168370,1542047,42.0,7.0,0,-1497.0,inf
5168359,1542037,42.0,7.0,0,-1497.0,77.29574365727603
5168358,1542037,42.0,7.0,0,-1497.0,inf
5124732,1532050,84.0,14.0,0,-1497.0,inf
5124735,1532053,42.0,7.0,0,-1497.0,inf
5124736,1532053,42.0,7.0,0,-1497.0,inf
5124711,1532037,42.0,7.0,0,-1497.0,inf
5124713,1532039,400.0,56.0,0,-1497.0,inf
6081710,2013577,42.0,7.0,0,-1497.0,0.4089586110785604
5813392,1937244,30.0,7.0,0,-1497.0,inf
5154132,1537018,84.0,14.0,0,-1497.0,inf
5154141,1537025,42.0,7.0,0,-1497.0,inf
6897048,2460765,42.0,7.0,0,-1497.0,inf
113245,22224,11.0,3.0,0,-1497.0,inf
6192576,2037447,42.0,7.0,0,-1497.0,inf
6192577,2037447,42.0,7.0,0,-1497.0,inf
113200,22185,84.0,14.0,0,-1497.0,52.26691482635215
5888557,1946630,42.0,7.0,0,-1497.0,inf
5888272,1946630,42.0,7.0,0,-1497.0,inf
1601257,262415,42.0,7.0,0,-1497.0,inf
1601256,262415,42.0,7.0,0,-1497.0,inf
1601243,262406,84.0,14.0,0,-1497.0,inf
10002,3446,11.0,3.0,0,-1497.0,inf
6981138,2467672,42.0,7.0,0,-1497.0,inf
1740175,306957,42.0,7.0,0,-1497.0,inf
1740176,306957,42.0,7.0,0,-1497.0,1.100219293963164
6989788,2468712,30.0,7.0,0,-1497.0,inf
7009022,2471682,42.0,7.0,0,-1497.0,inf
6078983,2013080,42.0,7.0,0,-1497.0,inf
5124759,1532071,84.0,14.0,0,-1436.344351851847,41.71577251143753
1984010,452332,168.0,28.0,0,-1416.0580092594028,inf
10970,3578,100.0,14.0,0,-1413.2212384259326,inf
10971,3578,100.0,14.0,0,-1413.2212384259326,inf
10972,3578,100.0,14.0,0,-1413.2212384259326,inf
1816199,339558,400.0,56.0,0,-1409.1343634258953,67.678573761601
6192618,2037468,400.0,56.0,0,-1394.1574189816602,inf
6898204,2460814,42.0,7.0,0,-1388.1214930554852,inf
1625805,270651,400.0,56.0,0,-1384.2376851853915,inf
1625813,269777,800.0,112.0,0,-1377.979062499944,inf
289107,51281,200.0,16.0,0,-1374.5895833331165,inf
1937058,429343,400.0,56.0,0,-1374.3966782409698,inf
10826,3493,42.0,7.0,0,-1371.1802199073136,inf
5888590,1946735,168.0,28.0,0,-1366.35511574056,inf
6823118,2417190,200.0,28.0,0,-1365.1492592594584,inf
2030434,459962,100.0,14.0,0,-1365.0484606479295,inf
2030433,459962,100.0,14.0,0,-1365.0484606479295,inf
2030431,459962,100.0,14.0,0,-1365.0484606479295,inf
2030432,459962,100.0,14.0,0,-1365.0484606479295,inf
260534,32351,100.0,14.0,0,-1359.998981481418,inf
2030554,459981,42.0,7.0,0,-1358.6218750001865,inf
2030553,459981,42.0,7.0,0,-1358.6218750001865,inf
2030551,459981,42.0,7.0,0,-1358.6218750001865,inf
2030552,459981,42.0,7.0,0,-1358.6218750001865,inf
337514,60962,30.0,7.0,0,-1343.412986110896,inf
361245,77275,42.0,7.0,0,-1331.81675925944,46.56196759268642
5888604,1946741,42.0,7.0,0,-1325.2870023148134,inf
5888603,1946741,42.0,7.0,0,-1325.2870023148134,inf
2465400,640123,42.0,7.0,0,-1309.3309606481344,inf
2512507,646735,400.0,56.0,0,-1299.8010879629292,43.535044965334244
5154230,1537071,42.0,7.0,0,-1289.8033564812504,inf
2031595,460103,200.0,28.0,0,-1272.0868750000373,inf
2031596,460103,200.0,28.0,0,-1272.0868750000373,inf
2031597,460103,200.0,28.0,0,-1272.0868750000373,inf
2031598,460103,200.0,28.0,0,-1272.0868750000373,inf
260577,32352,84.0,14.0,0,-1269.6482175923884,inf
6079033,2013119,42.0,7.0,0,-1266.824756944552,inf
5084912,1512014,200.0,28.0,0,-1266.3496990739368,inf
1652244,293017,42.0,7.0,0,-1264.9071875000373,inf
5234121,1555449,200.0,28.0,0,-1259.325810185168,inf
5888639,1946700,84.0,14.0,0,-1253.8856134261005,inf
337624,61057,42.0,7.0,0,-1253.8043402777985,inf
337643,61075,336.0,56.0,0,-1253.7592129628176,inf
5497150,1654531,42.0,7.0,0,-1253.1450925925747,inf
337700,61131,168.0,28.0,0,-1252.9487268519588,inf
337740,61160,11.0,3.0,0,-1252.8929976853542,inf
337792,61195,42.0,7.0,0,-1252.1381597220898,inf
5497245,1654604,42.0,7.0,0,-1251.7786458334886,inf
5497246,1654604,42.0,7.0,0,-1251.778611110989,inf
1601307,262453,30.0,7.0,0,-1234.3745601852424,54.626077882014215
2031674,460113,30.0,7.0,0,-1234.2896412038244,inf
2031673,460113,30.0,7.0,0,-1234.2896412038244,inf
2031672,460113,30.0,7.0,0,-1234.2896412038244,inf
2031671,460113,30.0,7.0,0,-1234.2896412038244,inf
6279637,2062333,84.0,14.0,0,-1221.309456018731,inf
1658949,294400,400.0,56.0,0,-1211.3513657408764,9.109972928185016
1658948,294400,400.0,56.0,0,-1211.3513657408764,9.109972904901953
289173,51315,60.0,14.0,0,-1202.1672569443472,inf
122933,23905,336.0,56.0,0,-1193.8160416665487,inf
122935,23905,336.0,56.0,0,-1193.8160416665487,inf
122934,23905,336.0,56.0,0,-1193.8160416665487,inf
2762369,766306,200.0,28.0,0,-1185.0121296294965,inf
2465473,640170,42.0,7.0,0,-1183.2369328704665,inf
6079039,2013123,42.0,7.0,0,-1181.081365740858,inf
5338479,1602775,42.0,7.0,0,-1175.9740277775566,inf
2443852,633153,42.0,7.0,0,-1174.94188657403,inf
2443885,633180,42.0,7.0,0,-1174.8729976853356,inf
2786885,785870,42.0,7.0,0,-1172.7258912036195,inf
2786887,785872,42.0,7.0,0,-1172.7257407405416,inf
2786889,785872,42.0,7.0,0,-1172.7253935183396,inf
2786931,785914,11.0,3.0,0,-1172.5581712964922,inf
