vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
7353493,2703236,200.0,28.0,0,-1497.0,49.810175220016404
7353492,2703236,200.0,28.0,0,-1497.0,49.810175208374865
7353491,2703236,200.0,28.0,0,-1497.0,49.81017519673333
7353490,2703236,200.0,28.0,0,-1497.0,49.81017518509179
1983963,452300,42.0,7.0,0,-1497.0,inf
260514,32338,42.0,7.0,0,-1497.0,inf
5154066,1536973,84.0,14.0,0,-1497.0,inf
5124712,1532038,336.0,56.0,0,-1497.0,inf
5154067,1536973,42.0,7.0,0,-1497.0,inf
5124663,1531997,42.0,7.0,0,-1497.0,inf
5124689,1531997,42.0,7.0,0,-1497.0,inf
1595288,260871,11.0,3.0,0,-1497.0,inf
1595261,260858,84.0,14.0,0,-1497.0,inf
1595262,260858,168.0,28.0,0,-1497.0,inf
1595263,260858,168.0,28.0,0,-1497.0,inf
1595264,260858,84.0,14.0,0,-1497.0,inf
1595265,260858,42.0,7.0,0,-1497.0,inf
1595266,260858,42.0,7.0,0,-1497.0,inf
1595325,260893,336.0,56.0,0,-1497.0,33.81404729187489
6192552,2037431,42.0,7.0,0,-1497.0,inf
1601290,262442,200.0,56.0,0,-1497.0,inf
113208,22193,168.0,28.0,0,-1497.0,19.38058272004127
5888285,1946642,42.0,7.0,0,-1497.0,47.33658440969885
10029,3462,42.0,7.0,0,-1497.0,inf
2532894,663200,60.0,14.0,0,-1497.0,42.02074648160488
10015,3453,42.0,7.0,0,-1497.0,inf
10004,3447,42.0,7.0,0,-1497.0,inf
10003,3447,42.0,7.0,0,-1497.0,inf
2532879,663189,168.0,28.0,0,-1497.0,1.2269164584577084
2532880,663189,168.0,28.0,0,-1497.0,inf
7235296,2655716,42.0,7.0,0,-1497.0,inf
7235297,2655716,42.0,7.0,0,-1497.0,inf
7235327,2655740,42.0,7.0,0,-1497.0,inf
7235002,2655556,336.0,224.0,0,-1497.0,22.406695555429906
6997490,2469996,42.0,7.0,0,-1497.0,inf
5182118,1547345,200.0,28.0,0,-1421.2340277777985,inf
2030109,459913,100.0,14.0,0,-1415.3081597220155,inf
2030108,459913,100.0,14.0,0,-1415.3081597220155,inf
2030107,459913,100.0,14.0,0,-1415.3081597220155,inf
2030110,459913,100.0,14.0,0,-1415.3081597220155,inf
6823101,2417174,100.0,14.0,0,-1413.2725231479853,1.9172059143893416
6078998,2013094,168.0,28.0,0,-1401.1658333335074,inf
2030427,459961,168.0,28.0,0,-1365.1284490739927,inf
2030428,459961,168.0,28.0,0,-1365.1284490739927,inf
2030430,459961,168.0,28.0,0,-1365.1284490739927,inf
2030429,459961,168.0,28.0,0,-1365.1284490739927,inf
1740196,306973,42.0,7.0,0,-1352.1100925924256,inf
5154182,1537056,200.0,28.0,0,-1346.6119675925004,inf
1954317,442433,200.0,28.0,0,-1281.016041666735,inf
5168478,1542132,42.0,7.0,0,-1265.07895833347,inf
6279615,2062289,42.0,7.0,0,-1261.2429166664372,inf
6459095,2208047,200.0,28.0,0,-1261.2284837961195,inf
5497019,1654408,11.0,3.0,0,-1253.9709027777424,68.71659489581361
5497031,1654420,42.0,7.0,0,-1253.9694791664372,inf
337610,61044,11.0,3.0,0,-1253.851053240709,inf
337616,61049,42.0,7.0,0,-1253.8064120369966,inf
337625,61058,42.0,7.0,0,-1253.8042939812876,inf
5497112,1654497,42.0,7.0,0,-1253.7401736113245,inf
6898245,2460840,30.0,7.0,0,-1253.4973263889553,inf
337666,61098,42.0,7.0,0,-1253.1115046297198,inf
2031652,459887,400.0,56.0,0,-1252.7916203704665,inf
