vmId,tenantId,cores,ram,vmTypeId,starttime,endtime
5168450,1542112,200.0,28.0,0,-1497.0,32.8895577895455
7353393,2703195,42.0,7.0,0,-1497.0,inf
5168398,1542071,84.0,14.0,0,-1497.0,inf
5168360,1542038,42.0,7.0,0,-1497.0,inf
5168382,1542038,42.0,7.0,0,-1497.0,inf
5124696,1532023,60.0,14.0,0,-1497.0,inf
4339313,1233055,42.0,7.0,0,-1497.0,inf
4339314,1233056,42.0,7.0,0,-1497.0,inf
1595302,260877,42.0,7.0,0,-1497.0,inf
1595287,260870,42.0,7.0,0,-1497.0,inf
5458376,1635676,400.0,56.0,0,-1497.0,inf
6192559,2037436,11.0,3.0,0,-1497.0,inf
1601279,262432,200.0,28.0,0,-1497.0,inf
113201,22186,42.0,7.0,0,-1497.0,inf
2532889,663196,42.0,7.0,0,-1497.0,inf
6622360,2249603,42.0,7.0,0,-1497.0,inf
6187855,2035542,200.0,28.0,0,-1497.0,33.72834679391235
1954282,442401,100.0,14.0,0,-1497.0,inf
1740169,306951,84.0,14.0,0,-1497.0,inf
1658904,294384,42.0,7.0,0,-1497.0,inf
1658901,294384,42.0,7.0,0,-1497.0,inf
361160,77223,168.0,28.0,0,-1497.0,inf
6279562,2062280,400.0,56.0,0,-1428.365659722127,inf
6622411,2249623,800.0,224.0,0,-1427.2168287038805,inf
6862188,2438838,84.0,14.0,0,-1420.8512962963434,inf
2465357,640093,42.0,7.0,0,-1410.4632986113434,inf
2465356,640093,42.0,7.0,0,-1410.4632986113434,inf
361221,77271,42.0,7.0,0,-1398.0397106483579,inf
5458395,1635693,800.0,224.0,0,-1391.1331365741794,41.7342712613754
7009062,2471713,42.0,7.0,0,-1371.3049421296455,inf
2030419,459960,84.0,14.0,0,-1365.4599305554293,19.041822326369587
2030422,459960,84.0,14.0,0,-1365.4599305554293,19.041822326369587
2030421,459960,84.0,14.0,0,-1365.4599305554293,19.041822326369587
2030420,459960,84.0,14.0,0,-1365.4599305554293,19.041822326369587
6862315,2438909,42.0,7.0,0,-1359.0296643520705,inf
5225992,1553895,42.0,7.0,0,-1323.3147453702984,inf
1954309,442425,200.0,28.0,0,-1310.0966666666789,inf
2465403,640126,42.0,7.0,0,-1296.1337847220711,inf
1740208,306985,42.0,7.0,0,-1293.3145833332092,inf
260561,32369,42.0,7.0,0,-1287.2784143518656,inf
2532989,663277,200.0,28.0,0,-1280.9769560187124,inf
4339416,1233121,42.0,7.0,0,-1277.8555092592724,inf
4339422,1233124,42.0,7.0,0,-1270.601238425821,5.690778460819273
6279608,2062313,42.0,7.0,0,-1269.0947569445707,inf
6079031,2013118,100.0,14.0,0,-1268.1236921297384,inf
5154241,1537080,30.0,7.0,0,-1267.0256134257652,inf
1740214,306990,120.0,28.0,0,-1256.179085648153,inf
5497027,1654416,84.0,14.0,0,-1253.969895833172,41.913872083183385
